"st","lat","long","y","x","year","month","day","weekno","weekday","hr","min","pixel"
1,12.967,77.6012,474,569,2016,2,13,2,5,16,0,2
1,12.967,77.6011,475,566,2016,2,13,2,5,16,0,2
1,12.967,77.6012,475,567,2016,2,13,2,5,16,0,2
1,12.967,77.6012,475,568,2016,2,13,2,5,16,0,2
1,12.967,77.6011,476,566,2016,2,13,2,5,16,0,2
1,12.967,77.6012,476,567,2016,2,13,2,5,16,0,2
1,12.967,77.6011,477,566,2016,2,13,2,5,16,0,2
1,12.967,77.6012,477,567,2016,2,13,2,5,16,0,2
1,12.967,77.6011,478,564,2016,2,13,2,5,16,0,2
1,12.967,77.6011,478,566,2016,2,13,2,5,16,0,2
1,12.967,77.6012,478,567,2016,2,13,2,5,16,0,2
1,12.9669,77.6011,479,565,2016,2,13,2,5,16,0,2
1,12.9669,77.6011,479,566,2016,2,13,2,5,16,0,2
1,12.9669,77.6012,479,567,2016,2,13,2,5,16,0,2
1,12.9669,77.6011,480,565,2016,2,13,2,5,16,0,2
1,12.9669,77.6011,480,566,2016,2,13,2,5,16,0,2
1,12.9669,77.6012,480,567,2016,2,13,2,5,16,0,2
1,12.9669,77.6012,480,568,2016,2,13,2,5,16,0,2
1,12.9669,77.6013,480,573,2016,2,13,2,5,16,0,1
1,12.9669,77.6011,481,566,2016,2,13,2,5,16,0,2
1,12.9669,77.6012,481,568,2016,2,13,2,5,16,0,2
1,12.9669,77.6011,482,566,2016,2,13,2,5,16,0,2
1,12.9668,77.6013,485,575,2016,2,13,2,5,16,0,1
1,12.9668,77.6014,485,577,2016,2,13,2,5,16,0,1
1,12.9668,77.6014,486,577,2016,2,13,2,5,16,0,1
1,12.9668,77.6013,487,575,2016,2,13,2,5,16,0,2
1,12.9668,77.6014,487,577,2016,2,13,2,5,16,0,1
1,12.9668,77.6014,487,578,2016,2,13,2,5,16,0,1
1,12.9668,77.6013,488,576,2016,2,13,2,5,16,0,1
1,12.9668,77.6014,488,577,2016,2,13,2,5,16,0,1
1,12.9667,77.6013,489,576,2016,2,13,2,5,16,0,1
1,12.9667,77.6014,489,577,2016,2,13,2,5,16,0,1
1,12.9667,77.6013,490,574,2016,2,13,2,5,16,0,1
1,12.9667,77.6013,490,576,2016,2,13,2,5,16,0,1
1,12.9667,77.6014,490,577,2016,2,13,2,5,16,0,1
1,12.9667,77.6014,490,579,2016,2,13,2,5,16,0,1
1,12.9667,77.6013,491,573,2016,2,13,2,5,16,0,1
1,12.9667,77.6013,491,576,2016,2,13,2,5,16,0,1
1,12.9667,77.6014,491,577,2016,2,13,2,5,16,0,1
1,12.9667,77.6013,492,576,2016,2,13,2,5,16,0,1
1,12.9667,77.6014,492,577,2016,2,13,2,5,16,0,1
1,12.9666,77.6013,493,575,2016,2,13,2,5,16,0,1
1,12.9666,77.6013,493,576,2016,2,13,2,5,16,0,1
1,12.9666,77.6014,493,578,2016,2,13,2,5,16,0,2
1,12.9666,77.6013,494,575,2016,2,13,2,5,16,0,1
1,12.9666,77.6013,494,576,2016,2,13,2,5,16,0,1
1,12.9666,77.5986,495,447,2016,2,13,2,5,16,0,1
1,12.9666,77.6013,495,575,2016,2,13,2,5,16,0,1
1,12.9666,77.6013,495,576,2016,2,13,2,5,16,0,1
1,12.9666,77.5986,496,447,2016,2,13,2,5,16,0,2
1,12.9666,77.6013,496,575,2016,2,13,2,5,16,0,1
1,12.9666,77.6014,496,578,2016,2,13,2,5,16,0,1
1,12.9666,77.5985,497,445,2016,2,13,2,5,16,0,3
1,12.9666,77.5986,497,446,2016,2,13,2,5,16,0,3
1,12.9666,77.5987,497,452,2016,2,13,2,5,16,0,1
1,12.9666,77.6014,497,579,2016,2,13,2,5,16,0,1
1,12.9665,77.5985,498,445,2016,2,13,2,5,16,0,3
1,12.9665,77.5986,498,446,2016,2,13,2,5,16,0,3
1,12.9665,77.5986,498,448,2016,2,13,2,5,16,0,2
1,12.9665,77.6014,498,578,2016,2,13,2,5,16,0,1
1,12.9665,77.5985,499,443,2016,2,13,2,5,16,0,1
1,12.9665,77.5985,499,445,2016,2,13,2,5,16,0,3
1,12.9665,77.5986,499,446,2016,2,13,2,5,16,0,3
1,12.9665,77.5986,499,447,2016,2,13,2,5,16,0,3
1,12.9665,77.5986,500,446,2016,2,13,2,5,16,0,3
1,12.9665,77.5986,500,447,2016,2,13,2,5,16,0,3
1,12.9665,77.5986,500,449,2016,2,13,2,5,16,0,2
1,12.9665,77.5986,501,446,2016,2,13,2,5,16,0,3
1,12.9665,77.5986,501,447,2016,2,13,2,5,16,0,3
1,12.9665,77.5986,501,448,2016,2,13,2,5,16,0,3
1,12.9665,77.5985,502,444,2016,2,13,2,5,16,0,2
1,12.9665,77.5986,502,446,2016,2,13,2,5,16,0,3
1,12.9665,77.5986,502,447,2016,2,13,2,5,16,0,3
1,12.9665,77.5986,502,448,2016,2,13,2,5,16,0,3
1,12.9664,77.5985,503,441,2016,2,13,2,5,16,0,2
1,12.9664,77.5986,503,447,2016,2,13,2,5,16,0,3
1,12.9664,77.5986,503,448,2016,2,13,2,5,16,0,3
1,12.9664,77.5986,503,449,2016,2,13,2,5,16,0,3
1,12.9664,77.5987,503,451,2016,2,13,2,5,16,0,2
1,12.9664,77.5987,503,452,2016,2,13,2,5,16,0,2
1,12.9664,77.5987,503,453,2016,2,13,2,5,16,0,2
1,12.9664,77.5984,504,438,2016,2,13,2,5,16,0,3
1,12.9664,77.5984,504,439,2016,2,13,2,5,16,0,3
1,12.9664,77.5985,504,441,2016,2,13,2,5,16,0,2
1,12.9664,77.5985,504,442,2016,2,13,2,5,16,0,2
1,12.9664,77.5985,504,443,2016,2,13,2,5,16,0,2
1,12.9664,77.5985,504,444,2016,2,13,2,5,16,0,2
1,12.9664,77.5985,504,445,2016,2,13,2,5,16,0,2
1,12.9664,77.5986,504,447,2016,2,13,2,5,16,0,3
1,12.9664,77.5986,504,448,2016,2,13,2,5,16,0,3
1,12.9664,77.5986,504,449,2016,2,13,2,5,16,0,3
1,12.9664,77.5987,504,452,2016,2,13,2,5,16,0,2
1,12.9664,77.5987,504,453,2016,2,13,2,5,16,0,2
1,12.9664,77.5984,505,437,2016,2,13,2,5,16,0,3
1,12.9664,77.5984,505,438,2016,2,13,2,5,16,0,3
1,12.9664,77.5984,505,439,2016,2,13,2,5,16,0,3
1,12.9664,77.5985,505,442,2016,2,13,2,5,16,0,2
1,12.9664,77.5985,505,443,2016,2,13,2,5,16,0,2
1,12.9664,77.5985,505,444,2016,2,13,2,5,16,0,2
1,12.9664,77.5985,505,445,2016,2,13,2,5,16,0,2
1,12.9664,77.5986,505,448,2016,2,13,2,5,16,0,3
1,12.9664,77.5986,505,449,2016,2,13,2,5,16,0,3
1,12.9664,77.5986,505,450,2016,2,13,2,5,16,0,3
1,12.9664,77.5987,505,452,2016,2,13,2,5,16,0,2
1,12.9664,77.5987,505,453,2016,2,13,2,5,16,0,2
1,12.9664,77.5983,506,436,2016,2,13,2,5,16,0,2
